,tweetText,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,like_to_view_ratio
1204,"I was just given a “last chance” to reply to one of the many cold direct messages I get every day.

Amazing!",9,0,0,28,2035,1,0.013759213759213759
2727,Always start alone. Others will join after they see you winning.,19,1,3,76,5534,5,0.013733285146367907
1463,when you make your first $1 online https://t.co/b0IYxQxtcI,3,0,2,40,2914,0,0.013726835964310227
3024,Nothing kills anxiety faster than taking care of every little responsibility you've been postponing.,15,1,10,128,9325,6,0.013726541554959785
931,"Create the offer. Presell it. Launch. Close cart.

Sounds simple? 
It is. 

Overthinking kills more offers than poor execution.",3,0,1,25,1825,2,0.01369863
892,"My client sold a $5,000 coaching package in his DMs.

✅ No sales call
✅ No long pitches
✅ Just a short DM interaction

He used my Free DM Strategy.

Like + Reply ""dm""

And I'll auto-DM you a link. https://t.co/n2rD7HwFw6",33,0,1,40,2929,2,0.013656538067599864
989,"""Write like you talk"" is for amateurs.

Talking is messy, scattered, and repetitive.

If you write like that, you'll fail.",23,1,5,49,3595,1,0.013630041724617525
1177,"If you're having a tough time getting an audience, just start giving out free ebooks. Whip up a few short guides (5K—10K words) and toss them on Gumroad. Before you know it, you'll have people's emails and a killer newsletter.",10,1,2,49,3599,16,0.013614893025840511
2664,"Almost everyone quits after a few failed posts.

Meanwhile, wiser entrepreneurs know that likes don't matter.

So they keep pushing and applying force.

Apply force.",18,1,2,55,4046,3,0.013593672763222936
2580,"The most effective marketing is the one that makes you money.

If it's making money, double down on it.",15,1,6,49,3605,3,0.013592233009708738
3022,"People will criticise you for having a 9-to-5 job.

“You’re wasting your potential”

“You’re a slave”

Ignore!

Use your 9-to-5 income to feed your dreams and side-hustles, not for booze.",10,0,4,66,4856,2,0.013591433278418451
1190,"I'm just gonna say it like it is:

Social media's a cheap thrill. It's like that toy you bought that you don't even remember. So, instead of spending hours scrolling through your feed, invest that time in creating.",3,0,1,22,1619,2,0.013588634959851761
730,"Bad marketing: “this is our product.”
 
Average marketing: “this is our solution.”
 
Great marketing: “Do you have this problem? I had that problem too. Here's how I solved it.”",15,1,11,71,5227,32,0.013583317390472546
1186,"People spending thousands on degrees instead of investing in a mentor or business coach. Like, seriously?",4,1,1,28,2069,0,0.013533107781536975
2692,"You won't build a business with a Netflix mindset.

Stop bingeing on courses, podcasts, and audiobooks.

And begin to share what you've learned and the effort you've made.",16,0,2,63,4663,4,0.013510615483594253
1883,"It's simple...
Your 1st offer: $1,000 💰

Why? Pricing is mostly guesswork.

So default to $1000.

As clients roll in and expertise grows, o can your price.",4,1,0,24,1780,2,0.013483146
1129,"It's simple:
• Create value content
• Send people to your newsletter
• Sell them on your services/coaching
• Get paid
• Repeat

I show you the process for free

Like and comment ""funnel""

And I'll auto-DM you my free '6-Figure Funnel' guide.
(Bonus: How to grow a newsletter) https://t.co/eqoaTe2Xvi",196,0,25,214,15880,25,0.013476070528967255
478,Procrastination has killed more dreams than socialism.,10,1,3,48,3563,5,0.013471793432500701
2190,"My first attempt at entrepreneurial success ended badly…

“Are you rich yet?” some of ""friends"" mocked me mercilessly.

After enduring all sorts of failures, guess what?

I made it.

Big rewards and tons of learning experiences.",7,0,3,34,2524,0,0.013470681
1395,"Ignore passion.

Find something you can monetize.

Get good at it.

Get paid for it.

Then finance your passion with the money you make.",8,2,13,70,5198,9,0.013466717968449404
2001,"IT'S SO SIMPLE.

A phrase to unlock doors:
""Here's how I can help you.""

It's like a magic spell or something.",7,0,2,53,3940,17,0.013451776649746193
1640,"Instagram is lit:
Men are complaining about my tone.
Women are loving it the tone. https://t.co/ou8E2q6EQY",4,0,0,37,2757,0,0.013420384
902,"Want real growth on X?
Tweets of platitudes.

Want real sales on X?
Give value.",4,0,3,25,1864,2,0.013412017167381975
2549,"If you think copywriting is just about putting words together, you're in for a rude awakening. 

It's about understanding human psychology.

And using words to influence people to do what you want them to do.",4,0,1,34,2536,1,0.013406940063091483
1980,"Showcase your competence:

• Testimonials 
• Case studies
• Screenshots 

Prove it. Attract leads. Win big.

That's how you win on Twitter.",7,0,1,32,2388,8,0.013400335
1178,"I'm seeing all these solopreneurs wasting their money on fancy equipment. But let me tell you something, a fancy laptop will not gonna bring in the business. You know what will? Actually getting to work. Sometimes less is more, my friends.",9,0,4,27,2018,2,0.013379583746283449
1736,https://t.co/d4XuziwiFm,3,1,0,42,3140,1,0.013375796
