,tweetText,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,like_to_view_ratio
179,Pursuing your curiosity is the transition from a life of doing what others tell you to doing what you enjoy.,144,15,187,1373,69696,182,0.019699839
664,"You can't improve what doesn't exist.

Don't horde ideas in your distracted mind. Don't stash your plans in a forgotten notebook. Don't mentally masturbate to tutorials &amp; advice.

Meaningful dopamine comes from building with your own two hands.

Real progress begins when you do.",95,15,141,989,50342,154,0.019645623932303048
13,"It breaks my heart to see so many starving artists because their ego refused to learn marketing and sales – thinking if they did, they'd have a big ego – so their work never had the potential of spreading beyond themselves.",181,15,134,1517,77397,285,0.019600243
700,"Everything is a skill.

Walking, speaking, writing, design, making money, business, dating, being social, nutrition, training.

Every skill is difficult until it becomes second nature. You aren't seeing the results you want because you distract yourself from daily practice.",94,15,425,1890,96478,287,0.019589958332469577
210,You're overwhelmed because your mind is living just far enough into the future that your next step feels unreachable.,155,14,429,3054,155948,594,0.019583450893887706
301,Your life sucks because your standards are so low that you are okay with your life sucking.,246,12,255,2146,109583,229,0.01958333
339,"People don't remember what you say, they remember how you make them feel.",128,19,238,1823,93407,107,0.019516738574196793
724,Weird becomes interesting when you're confident in your own skin.,116,7,161,1195,61258,66,0.019507656142871137
197,"Your mind takes the shape of its surroundings.

Be careful with how often you expose it to environments filled with mediocrity, mindlessness, and victim mentality.",173,26,443,2598,133179,447,0.01950758
258,"You aren't bored.

You're distracted.

Hopping from social media to the news to video games to junk food to numb your mind from the discomfort that life presents.

Distractions are finite.

Your potential is not.",188,11,376,2607,133744,438,0.019492463213303026
602,"An underrated skill is minding your own business.

It keeps you moving toward your goals.

It keeps you sane by not caring what others think.

It keeps you out of the trouble that comes with mindless conflict.

There are only a handful of good people that deserve your attention.",124,15,327,1513,77749,148,0.019460057364081854
214,"If you don’t want to do something, but you have to do it in order to do what you want, then you want to do it.",184,19,417,2875,147865,457,0.019443411
549,"“How long has it taken to build your physique?”

“How long has it taken to build your business?”

“How long has it taken to build your mindset?”

My entire life.

These aren’t “hobbies.”

They’re the foundation of your life.

Daily practice isn’t optional.",129,14,281,1885,97069,205,0.019419176
159,"At any given moment you are one book, post, video, word, sentence, paragraph, or conversation away from changing the direction of your life. The problem is that most people's problems aren't perceived as painful enough to be open to a new direction for their life.",145,8,199,1558,80340,303,0.019392581528503858
364,"You suck at writing because you don't understand human nature.

People don't want clever, they want clear.

People don't want a lecture, they want emotion.

People don't care about you, they care about themselves.

Write with this in mind and watch your readers pay attention.",221,18,674,4113,212283,1411,0.019375079492941028
486,"Sometimes a simple “fuck it, I’ll make it work” is all you need to start the snowball of momentum into a better life.",196,63,1412,6261,323542,536,0.019351429
126,"A pattern I've noticed in those who achieve great things:

They get obsessed with progress for short bursts of intense living after a vision for the future forms. Distractions don't have a chance at penetrating their focus.",123,7,223,1680,86903,426,0.019331898783701368
96,"Wake up, make coffee, 8 hours of work, entertain yourself, sleep, repeat for decades until you are given permission to replace work with more entertainment.

Sounds more robot than human.",171,11,195,1893,98089,241,0.019298800069324797
180,"A powerful frame of mind:

Treat everything you do or say as if you were going to die in one week, and reset the clock every morning so that week lasts a lifetime.",159,9,249,1859,96465,388,0.019271238
412,"One of the best compliments:

“I like the way your mind works.”",162,46,828,4487,233262,246,0.019235881
276,The only thing standing between where you are and where you want to be is a series of decisions that most people refuse to make.,236,28,461,2636,137287,353,0.019200653
178,"80% of living the life you want boils down to creating your own goals while most people are mindless slaves to society's goals.

Goals change how you interpret situations, which influences your actions, which programs your identity, which compounds over years into the good life.",137,13,339,2023,105416,442,0.019190635
468,The paradox of life is that everything is a disaster and yet everything is just fine. Where you focus your attention is the difference.,147,21,666,3161,165263,304,0.019127088
